time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
174,REQ_792,VNF_4->VNF_1->VNF_3,5,5,0,144.0000,96.0000,138.6667,12,2.40,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.5309
175,REQ_799,VNF_6->VNF_1->VNF_5,5,5,0,345.3333,104.0000,205.3333,13,2.60,True,False,True,"smart_greedy,resource_aware",,,0.5581
176,REQ_801,VNF_4->VNF_6->VNF_1,5,5,0,394.6667,112.0000,170.6667,14,2.80,True,False,True,"smart_greedy,resource_aware",,,0.5790
177,REQ_806,VNF_1->VNF_3->VNF_5,5,5,0,135.3333,40.0000,154.6667,10,2.00,True,False,True,smart_greedy,,,0.5771
178,REQ_810,VNF_7->VNF_2->VNF_3,5,5,0,114.0000,56.0000,108.0000,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.5971
179,REQ_816,VNF_4->VNF_5->VNF_2,5,5,0,101.3333,50.0000,145.6667,10,2.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5648
180,REQ_821,VNF_1->VNF_2->VNF_8,5,5,0,124.6667,72.0000,56.6667,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.5994
181,REQ_825,VNF_5->VNF_7->VNF_2,5,5,0,190.6667,65.0000,154.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.6321
182,REQ_829,VNF_7->VNF_1->VNF_2,5,5,0,258.0000,119.0000,114.0000,17,3.40,True,False,True,resource_aware,,,0.6395
183,REQ_830,VNF_6->VNF_2->VNF_1,5,5,0,246.6667,84.0000,126.6667,12,2.40,True,False,True,"smart_greedy,resource_aware",,,0.6084
184,REQ_835,VNF_5->VNF_2->VNF_1,5,5,0,130.0000,120.0000,115.0000,20,4.00,True,False,True,"resource_aware,resource_aware",,,0.5863
185,REQ_839,VNF_4->VNF_7->VNF_1,5,5,0,337.3333,104.0000,115.0000,13,2.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6281
186,REQ_844,VNF_3->VNF_4->VNF_6,5,5,0,186.6667,55.0000,221.6667,11,2.20,True,False,True,smart_greedy,,,0.6158
187,REQ_850,VNF_2->VNF_1->VNF_3,5,5,0,117.3333,40.0000,117.3333,10,2.00,True,False,True,resource_aware,,,0.6054
188,REQ_853,VNF_1->VNF_4->VNF_2,5,5,0,164.6667,66.0000,114.0000,11,2.20,True,False,True,resource_aware,,,0.6490
189,REQ_859,VNF_7->VNF_4->VNF_5,5,5,0,102.0000,64.0000,79.3333,16,3.20,True,False,True,resource_aware,,,0.6109
190,REQ_863,VNF_7->VNF_8->VNF_1,5,5,0,273.0000,108.0000,70.0000,18,3.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6312
191,REQ_866,VNF_7->VNF_4->VNF_3,5,5,0,170.0000,120.0000,145.0000,15,3.00,True,False,True,"smart_greedy,smart_greedy,smart_greedy,resource_aware,resource_aware",,,0.6298
192,REQ_870,VNF_5->VNF_4->VNF_8,5,5,0,133.0000,85.0000,119.0000,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6338
193,REQ_878,VNF_5->VNF_1->VNF_2,5,5,0,90.0000,76.0000,75.0000,19,3.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5718
