Episode,RequestID,Status,ConsumedBW,ConsumedCPU,ConsumedMem,Links,VNFs
207,1102,Accepted,42.00,22.00,19.00,7,3
208,1110,Accepted,60.00,28.00,16.00,12,3
209,1118,Accepted,78.00,32.00,16.00,13,3
210,1121,Accepted,88.00,27.00,26.00,11,3
211,1127,Accepted,72.00,34.00,33.00,9,3
212,1131,Accepted,88.00,24.00,44.00,11,3
213,1138,Accepted,48.00,18.00,8.00,12,3
214,1142,Accepted,60.00,19.00,27.00,10,3
215,1149,Accepted,52.00,12.00,22.00,13,3
216,1152,Accepted,72.00,28.00,12.00,12,3
217,1158,Accepted,40.00,13.00,18.00,10,3
218,1163,Accepted,56.00,23.00,25.00,8,3
219,1166,Accepted,56.00,13.00,14.00,14,3
220,1172,Accepted,63.00,33.00,19.00,9,3
221,1175,Accepted,72.00,27.00,14.00,12,3
222,1187,Accepted,84.00,31.00,21.00,12,3
223,1192,Accepted,63.00,38.00,16.00,9,3
224,1196,Accepted,44.00,18.00,11.00,11,3
225,1198,Accepted,63.00,30.00,23.00,9,3
226,1209,Accepted,72.00,22.00,19.00,12,3
227,1216,Accepted,98.00,25.00,24.00,14,3
228,1217,Accepted,40.00,26.00,14.00,8,3
229,1222,Accepted,55.00,17.00,23.00,11,3
230,1228,Accepted,64.00,44.00,18.00,8,3
231,1232,Accepted,64.00,37.00,15.00,8,3
232,1234,Accepted,54.00,32.00,16.00,9,3
233,1238,Accepted,55.00,24.00,22.00,11,3
234,1245,Accepted,44.00,15.00,18.00,11,3
235,1249,Accepted,96.00,27.00,29.00,12,3
236,1254,Accepted,88.00,27.00,36.00,11,3
237,1259,Accepted,104.00,34.00,24.00,13,3
238,1264,Accepted,84.00,25.00,25.00,14,3
239,1269,Accepted,112.00,42.00,25.00,14,3
240,1274,Accepted,44.00,21.00,11.00,11,3
241,1280,Accepted,77.00,38.00,16.00,11,3
242,1281,Accepted,66.00,22.00,19.00,11,3
243,1284,Accepted,60.00,31.00,13.00,12,3
244,1290,Accepted,60.00,33.00,17.00,10,3
245,1296,Accepted,65.00,17.00,16.00,13,3
246,1297,Accepted,60.00,18.00,33.00,10,3
247,1302,Accepted,72.00,34.00,28.00,9,3
248,1307,Accepted,72.00,18.00,14.00,18,3
249,1316,Accepted,72.00,49.00,24.00,9,3
250,1317,Accepted,65.00,21.00,15.00,13,3
251,1322,Accepted,64.00,39.00,35.00,8,3
252,1325,Accepted,72.00,42.00,27.00,9,3
253,1330,Accepted,80.00,27.00,30.00,10,3
254,1337,Accepted,64.00,24.00,38.00,8,3
255,1343,Accepted,72.00,29.00,27.00,9,3
256,1353,Accepted,36.00,18.00,8.00,9,3
257,1357,Accepted,40.00,14.00,17.00,10,3
258,1361,Accepted,105.00,35.00,24.00,15,3
259,1368,Accepted,60.00,25.00,25.00,10,3
260,1369,Accepted,66.00,28.00,17.00,11,3
261,1372,Accepted,54.00,18.00,28.00,9,3
262,1375,Accepted,72.00,26.00,23.00,12,3
263,1382,Accepted,55.00,21.00,17.00,11,3
264,1386,Accepted,54.00,32.00,14.00,9,3
265,1390,Accepted,48.00,29.00,26.00,8,3
266,1394,Accepted,56.00,24.00,23.00,8,3
267,1402,Accepted,55.00,22.00,17.00,11,3
268,1408,Accepted,50.00,29.00,8.00,10,3
269,1414,Accepted,44.00,13.00,18.00,11,3
270,1418,Accepted,84.00,38.00,22.00,12,3
271,1425,Accepted,77.00,30.00,26.00,11,3
272,1430,Accepted,56.00,35.00,24.00,8,3
273,1432,Accepted,54.00,38.00,12.00,9,3
274,1437,Accepted,40.00,17.00,17.00,10,3
275,1441,Accepted,50.00,23.00,12.00,10,3
276,1444,Accepted,56.00,19.00,12.00,14,3
277,1446,Accepted,40.00,25.00,11.00,10,3
278,1453,Accepted,36.00,19.00,11.00,9,3
279,1455,Accepted,72.00,44.00,18.00,9,3
280,1459,Accepted,88.00,34.00,24.00,11,3
281,1460,Accepted,44.00,17.00,12.00,11,3
282,1463,Accepted,54.00,30.00,25.00,9,3
283,1467,Accepted,80.00,49.00,25.00,10,3
284,1469,Accepted,50.00,24.00,14.00,10,3
285,1471,Accepted,66.00,33.00,12.00,11,3
286,1473,Accepted,72.00,35.00,23.00,9,3
287,1474,Accepted,91.00,38.00,16.00,13,3
288,1479,Accepted,44.00,17.00,18.00,11,3
289,1489,Accepted,80.00,32.00,35.00,10,3
290,1494,Accepted,65.00,23.00,14.00,13,3
291,1497,Accepted,88.00,37.00,15.00,11,3
292,1502,Accepted,50.00,33.00,8.00,10,3
293,1510,Accepted,56.00,39.00,14.00,8,3
294,1516,Accepted,84.00,29.00,31.00,12,3
295,1519,Accepted,63.00,37.00,21.00,9,3
296,1528,Accepted,48.00,32.00,18.00,8,3
297,1532,Accepted,60.00,36.00,18.00,10,3
298,1539,Accepted,120.00,34.00,28.00,15,3
299,1541,Accepted,72.00,34.00,33.00,9,3
