request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
REQ_1357,VNF_5->VNF_3->VNF_8,5,5,0,93.3333,60.0000,113.3333,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4680
REQ_1361,VNF_2->VNF_4->VNF_7,5,5,0,233.3333,112.0000,160.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4682
REQ_1368,VNF_8->VNF_5->VNF_2,5,5,0,166.6667,60.0000,166.6667,10,2.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4636
REQ_1369,VNF_8->VNF_1->VNF_5,5,5,0,186.6667,78.0000,113.3333,13,2.60,True,False,True,resource_aware,,,0.4693
REQ_1372,VNF_4->VNF_2->VNF_3,5,5,0,108.0000,84.0000,168.0000,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4997
REQ_1375,VNF_2->VNF_1->VNF_5,5,5,0,156.0000,102.0000,138.0000,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4649
REQ_1382,VNF_8->VNF_2->VNF_4,5,5,0,119.0000,65.0000,96.3333,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.4700
REQ_1386,VNF_7->VNF_4->VNF_8,5,5,0,181.3333,96.0000,79.3333,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4717
REQ_1390,VNF_7->VNF_2->VNF_3,5,5,0,193.3333,84.0000,173.3333,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4651
REQ_1394,VNF_1->VNF_4->VNF_3,5,5,0,128.0000,98.0000,122.6667,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4645
REQ_1402,VNF_8->VNF_6->VNF_3,5,5,0,154.0000,80.0000,119.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4690
REQ_1408,VNF_1->VNF_8->VNF_6,5,5,0,193.3333,75.0000,53.3333,15,3.00,True,False,True,resource_aware,,,0.4628
REQ_1414,VNF_4->VNF_5->VNF_2,5,5,0,91.0000,56.0000,126.0000,14,2.80,True,False,True,resource_aware,,,0.4565
REQ_1418,VNF_6->VNF_5->VNF_7,5,5,0,190.0000,112.0000,110.0000,16,3.20,True,False,True,"smart_greedy,smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4652
REQ_1425,VNF_5->VNF_2->VNF_1,5,5,0,200.0000,105.0000,173.3333,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4720
REQ_1430,VNF_2->VNF_4->VNF_7,5,5,0,221.6667,84.0000,152.0000,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4678
REQ_1432,VNF_8->VNF_7->VNF_6,5,5,0,266.0000,72.0000,84.0000,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4678
REQ_1437,VNF_5->VNF_6->VNF_2,5,5,0,158.6667,40.0000,158.6667,10,2.00,True,False,True,"smart_greedy,resource_aware",,,0.4837
REQ_1441,VNF_8->VNF_4->VNF_6,5,5,0,176.3333,75.0000,92.0000,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4642
REQ_1444,VNF_5->VNF_8->VNF_6,5,5,0,190.0000,64.0000,120.0000,16,3.20,True,False,True,"smart_greedy,resource_aware",,,0.4780
REQ_1446,VNF_2->VNF_1->VNF_7,5,5,0,166.6667,52.0000,73.3333,13,2.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4646
REQ_1453,VNF_5->VNF_1->VNF_6,5,5,0,126.6667,48.0000,73.3333,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4732
REQ_1455,VNF_7->VNF_8->VNF_4,5,5,0,220.0000,104.0000,90.0000,13,2.60,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,resource_aware",,,0.5189
REQ_1459,VNF_2->VNF_1->VNF_4,5,5,0,238.0000,104.0000,168.0000,13,2.60,True,False,True,"smart_greedy,resource_aware",,,0.5600
REQ_1460,VNF_6->VNF_3->VNF_1,5,5,0,119.0000,52.0000,84.0000,13,2.60,True,False,True,"smart_greedy,resource_aware",,,0.4941
REQ_1463,VNF_5->VNF_7->VNF_2,5,5,0,190.0000,90.0000,158.3333,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4687
REQ_1467,VNF_7->VNF_6->VNF_2,5,5,0,359.3333,136.0000,183.3333,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4646
