time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
82,REQ_361,VNF_6->VNF_7->VNF_2,5,5,0,120.0000,40.0000,65.0000,120.0000,36.0000,65.0000,3,9,0.5000,0.0500,0.3611,10,2.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.3967
83,REQ_366,VNF_2->VNF_6->VNF_8,5,5,0,180.0000,112.0000,105.0000,180.0000,77.0000,105.0000,4,11,0.5625,0.0875,0.4375,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4004
84,REQ_371,VNF_6->VNF_5->VNF_2,5,5,0,125.0000,96.0000,125.0000,125.0000,66.0000,125.0000,6,11,0.2604,0.0750,0.3472,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4093
85,REQ_375,VNF_3->VNF_4->VNF_7,5,5,0,170.0000,88.0000,145.0000,170.0000,80.0000,145.0000,7,10,0.3036,0.1000,0.3452,11,2.20,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.3995
86,REQ_377,VNF_7->VNF_1->VNF_4,5,5,0,165.0000,78.0000,60.0000,165.0000,78.0000,60.0000,4,13,0.5156,0.0750,0.2500,13,2.60,True,False,True,resource_aware,,,0.4313
87,REQ_379,VNF_4->VNF_1->VNF_8,5,5,0,120.0000,75.0000,45.0000,120.0000,55.0000,45.0000,2,11,0.7500,0.0625,0.3750,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4274
88,REQ_382,VNF_7->VNF_3->VNF_2,5,5,0,145.0000,66.0000,130.0000,145.0000,60.0000,130.0000,5,10,0.3625,0.0750,0.4333,11,2.20,True,False,True,"smart_greedy,resource_aware",,,0.4248
89,REQ_388,VNF_6->VNF_3->VNF_2,5,5,0,120.0000,66.0000,130.0000,120.0000,60.0000,130.0000,5,10,0.3000,0.0750,0.4333,11,2.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4241
90,REQ_396,VNF_4->VNF_7->VNF_6,5,5,0,190.0000,119.0000,85.0000,190.0000,91.0000,85.0000,6,13,0.3958,0.0875,0.2361,17,3.40,True,False,True,"smart_greedy,smart_greedy,resource_aware,resource_aware",,,0.4225
91,REQ_398,VNF_3->VNF_5->VNF_4,5,5,0,95.0000,112.0000,190.0000,95.0000,104.0000,190.0000,9,13,0.1319,0.1000,0.3519,14,2.80,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.4248
92,REQ_404,VNF_4->VNF_3->VNF_6,5,5,0,135.0000,96.0000,150.0000,135.0000,88.0000,150.0000,4,11,0.4219,0.1000,0.6250,12,2.40,True,False,True,"resource_aware,resource_aware,smart_greedy",,,0.4214
93,REQ_407,VNF_3->VNF_4->VNF_1,5,5,0,120.0000,91.0000,115.0000,120.0000,84.0000,115.0000,4,12,0.3750,0.0875,0.4792,13,2.60,True,False,True,"smart_greedy,smart_greedy",,,0.4211
94,REQ_413,VNF_7->VNF_5->VNF_6,5,5,0,160.0000,72.0000,95.0000,160.0000,66.0000,95.0000,6,11,0.3333,0.0750,0.2639,12,2.40,True,False,True,"smart_greedy,smart_greedy,resource_aware,resource_aware",,,0.4259
